chrom,start,end,label
4,60994767,60995791,0
12,12313741,12314765,0
5,155457226,155458250,0
10,70474518,70475542,0
4,12909012,12910036,0
6,141760559,141761583,0
4,71739800,71740824,0
9,10677493,10678517,0
2,42014303,42015327,0
X,1795954,1796978,0
5,99178120,99179144,0
X,89666849,89667873,0
14,83380720,83381744,0
1,152681909,152682933,0
22,10675145,10676169,0
6,33484335,33485359,0
7,64285795,64286819,0
11,39755956,39756980,0
5,173498683,173499707,0
2,15916642,15917666,0
7,41934189,41935213,0
1,109520691,109521715,0
8,66249497,66250521,0
3,161847200,161848224,0
9,85142622,85143646,0
8,102468747,102469771,0
17,55692242,55693266,0
10,90316239,90317263,0
17,35408279,35409303,0
10,57833297,57834321,0
4,120974101,120975125,0
1,153141601,153142625,0
5,54753088,54754112,0
9,20085189,20086213,0
15,68482164,68483188,0
1,52921707,52922731,0
3,180191745,180192769,0
9,71470570,71471594,0
9,110845636,110846660,0
X,830866,831890,0
1,211879217,211880241,0
15,40963374,40964398,0
1,168881503,168882527,0
14,96627322,96628346,0
11,10995402,10996426,0
7,27323773,27324797,0
12,63123696,63124720,0
13,77392130,77393154,0
13,104176781,104177805,0
16,71342968,71343992,0
4,43085980,43087004,0
12,83370696,83371720,0
14,22504552,22505576,0
18,54533789,54534813,0
9,117573797,117574821,0
7,68975932,68976956,0
20,23688993,23690017,0
11,38278518,38279542,0
14,96750328,96751352,0
22,45277436,45278460,0
1,161661228,161662252,0
11,129543985,129545009,0
10,31940806,31941830,0
7,120130319,120131343,0
12,33205949,33206973,0
6,78241003,78242027,0
3,87368041,87369065,0
16,33651759,33652783,0
1,115837321,115838345,0
9,10665527,10666551,0
X,41425942,41426966,0
X,13102178,13103202,0
10,52034040,52035064,0
4,684999,686023,0
8,6279920,6280944,0
13,77771419,77772443,0
2,143044463,143045487,0
6,71123060,71124084,0
X,116940653,116941677,0
12,97330615,97331639,0
20,4050369,4051393,0
2,19385674,19386698,0
1,147692805,147693829,0
X,86968102,86969126,0
1,113149175,113150199,0
4,59466515,59467539,0
16,11532073,11533097,0
10,122915542,122916566,0
6,51437673,51438697,0
2,90332316,90333340,0
7,70962666,70963690,0
4,66791764,66792788,0
X,47283581,47284605,0
15,70466460,70467484,0
13,72160056,72161080,0
21,29998668,29999692,0
1,202847412,202848436,0
2,76590043,76591067,0
3,144840657,144841681,0
1,158222163,158223187,0
6,54727236,54728260,0
2,154607197,154608221,0
20,939260,940284,0
5,51257536,51258560,0
9,14791009,14792033,0
22,16321635,16322659,0
2,238051863,238052887,0
7,82523000,82524024,0
6,62471667,62472691,0
12,28938919,28939943,0
16,3416254,3417278,0
8,34727100,34728124,0
14,40950430,40951454,0
6,44619153,44620177,0
10,37728522,37729546,0
11,44552855,44553879,0
10,38516187,38517211,0
18,31977219,31978243,0
15,47124025,47125049,0
20,19103564,19104588,0
3,65319141,65320165,0
13,30006426,30007450,0
18,67345611,67346635,0
17,17669070,17670094,0
8,130697174,130698198,0
10,79550074,79551098,0
10,117713974,117714998,0
9,32608958,32609982,0
16,29915231,29916255,0
1,188580892,188581916,0
3,105141844,105142868,0
6,28944530,28945554,0
11,114847237,114848261,0
11,35548267,35549291,0
4,154900767,154901791,0
6,148090951,148091975,0
21,22830477,22831501,0
7,52807244,52808268,0
13,110518414,110519438,0
11,134579751,134580775,0
8,120900630,120901654,0
7,45216633,45217657,0
7,153576810,153577834,0
18,58440047,58441071,0
15,37834054,37835078,0
13,112151982,112153006,0
2,31466490,31467514,0
13,32936059,32937083,0
1,5018879,5019903,0
13,24638364,24639388,0
5,89515163,89516187,0
2,31517592,31518616,0
6,128590044,128591068,0
17,71667084,71668108,0
6,159902345,159903369,0
12,15095846,15096870,0
14,66156632,66157656,0
13,35741556,35742580,0
6,153803191,153804215,0
20,20887672,20888696,0
9,31935167,31936191,0
X,113215379,113216403,0
3,135824148,135825172,0
2,36265548,36266572,0
X,143953106,143954130,0
10,30192098,30193122,0
6,65842055,65843079,0
6,17339970,17340994,0
X,117128308,117129332,0
5,160963962,160964986,0
8,137167095,137168119,0
14,104660017,104661041,0
6,62328655,62329679,0
7,23534379,23535403,0
17,70752321,70753345,0
11,132381018,132382042,0
9,102022580,102023604,0
9,20149539,20150563,0
5,67960560,67961584,0
9,75044482,75045506,0
4,164904614,164905638,0
8,54474544,54475568,0
12,102723281,102724305,0
3,172004018,172005042,0
6,23777625,23778649,0
6,167698418,167699442,0
4,161080755,161081779,0
2,149478237,149479261,0
5,136927801,136928825,0
14,38246534,38247558,0
4,66151480,66152504,0
2,83017896,83018920,0
20,43908067,43909091,0
8,17921142,17922166,0
10,45327428,45328452,0
1,18823979,18825003,0
11,36799240,36800264,0
11,81724385,81725409,0
8,53141049,53142073,0
2,190396369,190397393,0
17,31789371,31790395,0
8,46483853,46484877,0
12,97316622,97317646,0
9,15400288,15401312,0
20,2193473,2194497,0
7,38055157,38056181,0
9,82887552,82888576,0
16,18979922,18980946,0
19,389873,390897,0
6,145973906,145974930,0
3,163806639,163807663,0
11,37743526,37744550,0
2,174504174,174505198,0
13,107954120,107955144,0
12,32077414,32078438,0
2,185158534,185159558,0
19,56215641,56216665,0
4,136719960,136720984,0
2,128998862,128999886,0
4,100258300,100259324,0
8,142008259,142009283,0
2,123477258,123478282,0
1,218559604,218560628,0
22,35663741,35664765,0
14,54268830,54269854,0
22,49931908,49932932,0
7,52101590,52102614,0
8,141323326,141324350,0
X,55395004,55396028,0
16,51104344,51105368,0
9,110339510,110340534,0
3,45321274,45322298,0
10,16273689,16274713,0
4,63655636,63656660,0
21,40928933,40929957,0
21,33204541,33205565,0
5,173537753,173538777,0
7,15156870,15157894,0
3,82909590,82910614,0
6,2957861,2958885,0
11,104368183,104369207,0
12,104403582,104404606,0
4,121656450,121657474,0
12,15025571,15026595,0
3,152567981,152569005,0
4,95565366,95566390,0
8,107791805,107792829,0
19,48922842,48923866,0
2,231647729,231648753,0
1,144497679,144498703,0
3,33944304,33945328,0
14,82949412,82950436,0
1,22330627,22331651,0
4,158106823,158107847,0
1,15452618,15453642,0
18,44667996,44669020,0
1,30413944,30414968,0
13,107052001,107053025,0
4,167327089,167328113,0
19,4144431,4145455,0
X,875179,876203,0
16,227913,228937,0
X,44467874,44468898,0
4,124398915,124399939,0
21,13021098,13022122,0
4,10303017,10304041,0
13,35715128,35716152,0
11,42875335,42876359,0
9,31381752,31382776,0
20,4602351,4603375,0
14,20474292,20475316,0
19,41543459,41544483,0
22,45916231,45917255,0
6,62469481,62470505,0
2,651430,652454,0
8,76371656,76372680,0
8,6367286,6368310,0
13,34022918,34023942,0
X,55449732,55450756,0
14,45262655,45263679,0
3,102008474,102009498,0
10,30224593,30225617,0
6,95429615,95430639,0
1,165384311,165385335,0
7,41881460,41882484,0
13,62333894,62334918,0
9,76924447,76925471,0
2,226112997,226114021,0
1,37595971,37596995,0
5,8985896,8986920,0
18,27304938,27305962,0
3,83015695,83016719,0
1,58591061,58592085,0
9,117746355,117747379,0
4,188041954,188042978,0
4,181256072,181257096,0
3,103757019,103758043,0
4,116639593,116640617,0
2,195162196,195163220,0
1,179844478,179845502,0
10,113922340,113923364,0
2,30022181,30023205,0
6,32541007,32542031,0
5,116817581,116818605,0
3,14597059,14598083,0
13,44824590,44825614,0
19,17504915,17505939,0
11,125716167,125717191,0
8,26893001,26894025,0
6,104303077,104304101,0
6,37569149,37570173,0
X,117114279,117115303,0
19,45914831,45915855,0
2,163107283,163108307,0
3,141847246,141848270,0
12,37820233,37821257,0
4,71610404,71611428,0
11,98497764,98498788,0
9,22688555,22689579,0
10,91656160,91657184,0
21,23740394,23741418,0
11,131059602,131060626,0
4,185642034,185643058,0
9,17533847,17534871,0
1,238974765,238975789,0
8,79746014,79747038,0
1,186581403,186582427,0
12,10604256,10605280,0
2,20455099,20456123,0
17,44023707,44024731,0
3,117453317,117454341,0
6,89014699,89015723,0
2,177595367,177596391,0
11,25331759,25332783,0
6,86502198,86503222,0
5,30453484,30454508,0
3,162364894,162365918,0
4,57689011,57690035,0
3,146378454,146379478,0
8,126471673,126472697,0
17,423507,424531,0
2,35511819,35512843,0
20,38953064,38954088,0
7,148629390,148630414,0
7,138273512,138274536,0
2,31759341,31760365,0
2,124009112,124010136,0
4,145370154,145371178,0
4,156058163,156059187,0
10,36635286,36636310,0
8,37107892,37108916,0
4,183459812,183460836,0
2,146080548,146081572,0
8,42619934,42620958,0
1,4496263,4497287,0
7,134466837,134467861,0
2,17258281,17259305,0
13,112469685,112470709,0
10,111574562,111575586,0
2,208158185,208159209,0
10,89124582,89125606,0
18,33519989,33521013,0
11,93627967,93628991,0
18,76504262,76505286,0
20,12718820,12719844,0
20,41777886,41778910,0
22,22236173,22237197,0
X,131977430,131978454,0
18,40877670,40878694,0
4,189228666,189229690,0
21,17824061,17825085,0
7,112588328,112589352,0
8,89531743,89532767,0
3,194386132,194387156,0
2,45027646,45028670,0
20,31234550,31235574,0
10,56583069,56584093,0
19,9681611,9682635,0
7,53112309,53113333,0
5,181139438,181140462,0
17,135255,136279,0
2,234571072,234572096,0
9,72029533,72030557,0
6,170001627,170002651,0
7,118170915,118171939,0
9,1090919,1091943,0
9,129781431,129782455,0
18,13176391,13177415,0
10,42879463,42880487,0
11,129495724,129496748,0
8,78939927,78940951,0
16,85922065,85923089,0
13,105140644,105141668,0
4,35812806,35813830,0
9,40106142,40107166,0
3,40241764,40242788,0
19,28798170,28799194,0
X,137244638,137245662,0
2,67079379,67080403,0
10,8988933,8989957,0
7,64356606,64357630,0
11,42313363,42314387,0
7,149126274,149127298,0
4,138243234,138244258,0
2,162867782,162868806,0
10,22024986,22026010,0
11,7084627,7085651,0
4,119932492,119933516,0
8,5657493,5658517,0
11,1614184,1615208,0
8,5707598,5708622,0
5,26823211,26824235,0
7,96419879,96420903,0
X,155396732,155397756,0
7,7735798,7736822,0
1,247458977,247460001,0
6,80400555,80401579,0
12,37888732,37889756,0
8,5949054,5950078,0
2,86613946,86614970,0
4,63062761,63063785,0
18,66190151,66191175,0
6,32643032,32644056,0
10,109738121,109739145,0
17,70483519,70484543,0
5,34523198,34524222,0
3,63709255,63710279,0
22,27818001,27819025,0
20,6277689,6278713,0
17,73854466,73855490,0
15,34514773,34515797,0
6,93016608,93017632,0
21,25786813,25787837,0
11,49011790,49012814,0
6,49884035,49885059,0
5,112136698,112137722,0
X,119882199,119883223,0
6,67097469,67098493,0
14,24782455,24783479,0
X,48865329,48866353,0
6,31262165,31263189,0
1,40903662,40904686,0
9,31191705,31192729,0
1,117324940,117325964,0
8,5502197,5503221,0
1,5129582,5130606,0
3,14800809,14801833,0
13,24624186,24625210,0
1,189154919,189155943,0
10,83933401,83934425,0
13,58915405,58916429,0
15,37756349,37757373,0
X,856187,857211,0
1,92795816,92796840,0
6,169987611,169988635,0
15,34230356,34231380,0
6,142685569,142686593,0
1,54996007,54997031,0
14,25411382,25412406,0
3,86787873,86788897,0
16,79677400,79678424,0
17,16682903,16683927,0
17,73736360,73737384,0
16,2188930,2189954,0
13,21740924,21741948,0
16,32261537,32262561,0
6,166127888,166128912,0
14,45559944,45560968,0
2,27737909,27738933,0
5,36429786,36430810,0
5,162379602,162380626,0
10,78729841,78730865,0
8,29890843,29891867,0
3,34946767,34947791,0
7,74259313,74260337,0
6,116568413,116569437,0
9,2698120,2699144,0
14,27946703,27947727,0
6,160307979,160309003,0
5,12424268,12425292,0
4,72876394,72877418,0
1,213657558,213658582,0
2,83068697,83069721,0
4,165795049,165796073,0
12,115482215,115483239,0
3,82482345,82483369,0
5,3033022,3034046,0
14,35012004,35013028,0
13,52831754,52832778,0
14,42278642,42279666,0
15,82108805,82109829,0
11,97367296,97368320,0
13,111529682,111530706,0
7,68854338,68855362,0
5,3732898,3733922,0
10,129106663,129107687,0
8,53962391,53963415,0
18,40172035,40173059,0
16,25192136,25193160,0
21,15164436,15165460,0
2,6806625,6807649,0
18,62453084,62454108,0
13,40039560,40040584,0
1,119620624,119621648,0
12,58407081,58408105,0
X,95947283,95948307,0
15,17041740,17042764,0
X,55124349,55125373,0
X,146738600,146739624,0
11,69510154,69511178,0
6,32624577,32625601,0
4,180616984,180618008,0
4,44094797,44095821,0
11,127829862,127830886,0
4,174598736,174599760,0
19,8627084,8628108,0
14,83055974,83056998,0
3,98177000,98178024,0
11,81738961,81739985,0
14,21785364,21786388,0
16,79966173,79967197,0
12,58098421,58099445,0
19,20570621,20571645,0
10,100650491,100651515,0
1,168776011,168777035,0
2,13450506,13451530,0
9,29737007,29738031,0
7,145417350,145418374,0
20,23853670,23854694,0
X,52926060,52927084,0
X,30380847,30381871,0
9,2686536,2687560,0
10,91690750,91691774,0
21,10662208,10663232,0
8,64562497,64563521,0
18,31870102,31871126,0
6,29736306,29737330,0
6,49363723,49364747,0
13,75146158,75147182,0
12,10341630,10342654,0
7,89640727,89641751,0
3,115613515,115614539,0
7,10868635,10869659,0
2,81818970,81819994,0
1,165399624,165400648,0
18,50951853,50952877,0
7,31186145,31187169,0
3,138964152,138965176,0
12,118940729,118941753,0
2,31322000,31323024,0
X,139983535,139984559,0
8,141717632,141718656,0
2,104373769,104374793,0
6,15166200,15167224,0
6,99825949,99826973,0
3,152954949,152955973,0
8,41480684,41481708,0
2,147661075,147662099,0
8,27633851,27634875,0
1,247086525,247087549,0
4,3631932,3632956,0
13,20927327,20928351,0
14,106560085,106561109,0
16,8514316,8515340,0
4,61062216,61063240,0
6,142265238,142266262,0
4,183329142,183330166,0
X,1702731,1703755,0
1,149762432,149763456,0
19,2966134,2967158,0
22,12814029,12815053,0
2,19820006,19821030,0
3,162259332,162260356,0
2,128437377,128438401,0
12,30055829,30056853,0
21,17721401,17722425,0
1,64278186,64279210,0
11,113368987,113370011,0
14,98301511,98302535,0
11,128346797,128347821,0
20,41972381,41973405,0
X,90575826,90576850,0
9,85304815,85305839,0
3,1535218,1536242,0
20,37423936,37424960,0
8,26220780,26221804,0
5,84789341,84790365,0
11,72155688,72156712,0
13,103412935,103413959,0
7,144055545,144056569,0
7,146052571,146053595,0
1,120177172,120178196,0
17,21972694,21973718,0
22,38278994,38280018,0
6,61417509,61418533,0
19,15634822,15635846,0
14,75209608,75210632,0
4,183628638,183629662,0
18,43677459,43678483,0
10,53535705,53536729,0
12,84654551,84655575,0
21,22699289,22700313,0
X,119399403,119400427,0
7,44948453,44949477,0
12,17916501,17917525,0
7,9590714,9591738,0
9,27239442,27240466,0
4,35479440,35480464,0
6,102161442,102162466,0
10,43711811,43712835,0
4,35388991,35390015,0
3,172859538,172860562,0
2,128694948,128695972,0
6,170504775,170505799,0
2,16491962,16492986,0
X,134879554,134880578,0
12,61424560,61425584,0
12,107807742,107808766,0
2,128582879,128583903,0
18,22499836,22500860,0
18,7535955,7536979,0
1,191264729,191265753,0
21,8532226,8533250,0
11,109054438,109055462,0
4,11843493,11844517,0
5,8489339,8490363,0
17,71087190,71088214,0
X,127755995,127757019,0
11,11261675,11262699,0
4,7110360,7111384,0
4,103533049,103534073,0
3,1740055,1741079,0
8,28233992,28235016,0
7,158838089,158839113,0
1,44104827,44105851,0
12,19099145,19100169,0
2,83739762,83740786,0
18,76151458,76152482,0
5,103962994,103964018,0
2,203847404,203848428,0
15,59854722,59855746,0
15,79680713,79681737,0
11,63348771,63349795,0
5,175265111,175266135,0
4,98485377,98486401,0
18,76317786,76318810,0
6,81152300,81153324,0
X,90786109,90787133,0
X,153098837,153099861,0
5,164243928,164244952,0
5,62175786,62176810,0
6,104101368,104102392,0
22,17733015,17734039,0
22,48082341,48083365,0
13,63632118,63633142,0
20,16974638,16975662,0
3,26547166,26548190,0
12,115959300,115960324,0
21,17164656,17165680,0
2,139605682,139606706,0
8,137509686,137510710,0
13,88811781,88812805,0
12,72032174,72033198,0
12,74639289,74640313,0
21,20873418,20874442,0
11,28621752,28622776,0
13,97012808,97013832,0
3,163890735,163891759,0
3,159362895,159363919,0
6,33593119,33594143,0
11,98551206,98552230,0
18,51677850,51678874,0
10,111430316,111431340,0
5,29799550,29800574,0
16,52954680,52955704,0
9,81807556,81808580,0
11,25962855,25963879,0
12,52856917,52857941,0
16,65796313,65797337,0
10,127521901,127522925,0
17,9246155,9247179,0
4,83650517,83651541,0
16,67938354,67939378,0
12,102983611,102984635,0
X,768957,769981,0
2,130311720,130312744,0
2,4084789,4085813,0
3,144919188,144920212,0
15,78314225,78315249,0
18,68665271,68666295,0
1,205550906,205551930,0
2,176264012,176265036,0
14,100187450,100188474,0
9,107725124,107726148,0
3,42906284,42907308,0
7,85499743,85500767,0
X,16906757,16907781,0
21,30196003,30197027,0
2,98739661,98740685,0
9,75215586,75216610,0
3,43065795,43066819,0
14,53030290,53031314,0
12,82016418,82017442,0
8,117725448,117726472,0
1,105580315,105581339,0
18,30025266,30026290,0
3,35898593,35899617,0
5,41953266,41954290,0
4,43074875,43075899,0
2,160794512,160795536,0
5,77192233,77193257,0
5,144527704,144528728,0
12,73218509,73219533,0
2,216175081,216176105,0
10,80888824,80889848,0
X,151137172,151138196,0
4,141551562,141552586,0
4,156601220,156602244,0
19,28002420,28003444,0
6,29792252,29793276,0
14,96955912,96956936,0
17,32256202,32257226,0
11,39722024,39723048,0
2,137893590,137894614,0
14,47821750,47822774,0
13,48137657,48138681,0
6,31361609,31362633,0
8,117416662,117417686,0
13,82393077,82394101,0
2,136373448,136374472,0
13,84833612,84834636,0
10,130929338,130930362,0
13,111069738,111070762,0
9,108841307,108842331,0
1,235829364,235830388,0
1,80382680,80383704,0
11,37490395,37491419,0
10,57812020,57813044,0
4,60436362,60437386,0
13,72512969,72513993,0
6,168356887,168357911,0
16,88814403,88815427,0
5,54428059,54429083,0
X,5797107,5798131,0
17,63859350,63860374,0
13,85996349,85997373,0
4,25940597,25941621,0
4,179130885,179131909,0
16,8252432,8253456,0
X,5625383,5626407,0
X,87229751,87230775,0
6,33048046,33049070,0
14,89752282,89753306,0
2,26730130,26731154,0
7,94145832,94146856,0
7,6851917,6852941,0
19,19700279,19701303,0
15,26230057,26231081,0
7,53139303,53140327,0
5,58090109,58091133,0
4,137216363,137217387,0
3,109322475,109323499,0
1,104228485,104229509,0
18,35162385,35163409,0
X,126658517,126659541,0
10,42503778,42504802,0
3,5663365,5664389,0
5,10884269,10885293,0
2,238225678,238226702,0
X,76009674,76010698,0
14,21833697,21834721,0
1,90194100,90195124,0
5,113683782,113684806,0
9,73767696,73768720,0
2,87215608,87216632,0
2,199145961,199146985,0
1,43009913,43010937,0
18,74171712,74172736,0
X,1567098,1568122,0
5,122623231,122624255,0
11,133607815,133608839,0
2,163430756,163431780,0
14,86608963,86609987,0
15,37535415,37536439,0
1,230294668,230295692,0
13,70606733,70607757,0
4,32520904,32521928,0
5,105869573,105870597,0
1,212825562,212826586,0
20,10397080,10398104,0
6,7629626,7630650,0
4,156628573,156629597,0
1,192971512,192972536,0
12,88855808,88856832,0
6,145259422,145260446,0
2,154672260,154673284,0
19,29206010,29207034,0
1,106515455,106516479,0
19,33954464,33955488,0
11,55949288,55950312,0
11,93086160,93087184,0
13,48847413,48848437,0
1,243029641,243030665,0
7,57357338,57358362,0
3,187921587,187922611,0
1,75611849,75612873,0
6,29946234,29947258,0
20,45367372,45368396,0
X,53461851,53462875,0
1,110479266,110480290,0
X,104482597,104483621,0
X,100220368,100221392,0
6,54599855,54600879,0
4,49536439,49537463,0
2,5115291,5116315,0
2,119296645,119297669,0
18,7137069,7138093,0
6,67441975,67442999,0
4,33254991,33256015,0
6,80351462,80352486,0
8,29607963,29608987,0
1,106286344,106287368,0
19,8411900,8412924,0
9,25076255,25077279,0
3,26484374,26485398,0
12,20778381,20779405,0
1,80897960,80898984,0
18,78541832,78542856,0
11,80428997,80430021,0
22,40739711,40740735,0
4,188832840,188833864,0
8,20055434,20056458,0
6,55902078,55903102,0
7,7324679,7325703,0
14,97713631,97714655,0
3,34711644,34712668,0
11,98575534,98576558,0
8,29600986,29602010,0
5,147792029,147793053,0
2,120315563,120316587,0
6,102080384,102081408,0
3,188037160,188038184,0
5,24736666,24737690,0
5,175052123,175053147,0
2,149275058,149276082,0
2,10278108,10279132,0
X,118480697,118481721,0
8,17229092,17230116,0
2,7199063,7200087,0
12,47610259,47611283,0
1,10390748,10391772,0
6,44613435,44614459,0
4,115748945,115749969,0
7,3045634,3046658,0
18,14462391,14463415,0
14,28547996,28549020,0
7,18085254,18086278,0
3,177425533,177426557,0
9,75843732,75844756,0
3,105619308,105620332,0
13,64230277,64231301,0
2,85118150,85119174,0
2,117186946,117187970,0
X,64866125,64867149,0
7,31016743,31017767,0
19,47888688,47889712,0
6,132633110,132634134,0
X,531224,532248,0
6,62962295,62963319,0
3,82568581,82569605,0
9,134490485,134491509,0
X,100445778,100446802,0
9,69940652,69941676,0
1,90761841,90762865,0
10,26638086,26639110,0
2,36329589,36330613,0
X,147564230,147565254,0
X,1585199,1586223,0
6,94297611,94298635,0
X,47327642,47328666,0
13,68814546,68815570,0
5,34081550,34082574,0
11,24352999,24354023,0
10,113827251,113828275,0
6,1580722,1581746,0
16,63799006,63800030,0
8,77748573,77749597,0
1,114268268,114269292,0
1,100191105,100192129,0
2,44971184,44972208,0
X,99116405,99117429,0
1,41454073,41455097,0
19,20816255,20817279,0
4,188143798,188144822,0
16,34957075,34958099,0
10,107301907,107302931,0
9,110580813,110581837,0
7,119258941,119259965,0
18,73264564,73265588,0
10,49779101,49780125,0
4,58036476,58037500,0
5,133678117,133679141,0
X,147392497,147393521,0
6,67812581,67813605,0
9,135422123,135423147,0
13,19256129,19257153,0
4,189379114,189380138,0
3,99261751,99262775,0
12,76954836,76955860,0
11,9552953,9553977,0
6,50215871,50216895,0
22,36271036,36272060,0
17,14813096,14814120,0
5,84971706,84972730,0
1,161543587,161544611,0
6,84944096,84945120,0
3,11895131,11896155,0
12,8454108,8455132,0
7,152540889,152541913,0
10,38692967,38693991,0
18,38603859,38604883,0
9,102235862,102236886,0
14,59373586,59374610,0
4,128688069,128689093,0
21,22542823,22543847,0
17,34263011,34264035,0
16,62468936,62469960,0
8,54207605,54208629,0
18,73904293,73905317,0
5,63677042,63678066,0
10,29881558,29882582,0
18,23586581,23587605,0
2,226811599,226812623,0
18,41090009,41091033,0
9,113697172,113698196,0
12,85672488,85673512,0
5,85973221,85974245,0
14,105212718,105213742,0
2,81230328,81231352,0
3,106597535,106598559,0
11,24488392,24489416,0
2,131796099,131797123,0
5,31562640,31563664,0
19,8021036,8022060,0
4,35724710,35725734,0
5,5726004,5727028,0
12,7989987,7991011,0
8,489089,490113,0
2,129008905,129009929,0
15,79487384,79488408,0
12,116313922,116314946,0
1,47500386,47501410,0
2,227265885,227266909,0
17,77872645,77873669,0
X,89591930,89592954,0
11,134545649,134546673,0
1,7893884,7894908,0
16,31871479,31872503,0
20,21883304,21884328,0
19,27321902,27322926,0
1,25951129,25952153,0
20,5040110,5041134,0
7,128451261,128452285,0
13,97013115,97014139,0
5,120135147,120136171,0
14,61661196,61662220,0
10,10080309,10081333,0
9,111836662,111837686,0
8,5953367,5954391,0
10,80229879,80230903,0
4,140780690,140781714,0
20,44867511,44868535,0
6,31262119,31263143,0
4,3854744,3855768,0
18,46760123,46761147,0
2,125828898,125829922,0
5,25388529,25389553,0
3,93766454,93767478,0
5,32471239,32472263,0
13,70441251,70442275,0
13,22521973,22522997,0
8,141315467,141316491,0
11,34763345,34764369,0
9,36726722,36727746,0
13,105170757,105171781,0
4,45082944,45083968,0
18,9410456,9411480,0
4,11107330,11108354,0
6,53741059,53742083,0
6,55645890,55646914,0
22,42058946,42059970,0
5,53225070,53226094,0
7,142710222,142711246,0
5,103690814,103691838,0
19,16260254,16261278,0
4,170930276,170931300,0
11,67694794,67695818,0
5,154435275,154436299,0
6,130815862,130816886,0
5,197633,198657,0
11,124386607,124387631,0
16,81053883,81054907,0
1,82158812,82159836,0
13,40343322,40344346,0
18,56194936,56195960,0
20,23817051,23818075,0
4,132480526,132481550,0
6,1586550,1587574,0
11,26747275,26748299,0
10,56255902,56256926,0
8,75385795,75386819,0
22,16171752,16172776,0
13,18273177,18274201,0
9,64468578,64469602,0
10,114033478,114034502,0
X,149321964,149322988,0
7,145534859,145535883,0
22,49892524,49893548,0
14,57381980,57383004,0
4,35559155,35560179,0
16,61007223,61008247,0
3,83179859,83180883,0
7,28910403,28911427,0
3,99048578,99049602,0
14,98321107,98322131,0
6,37033177,37034201,0
5,157868940,157869964,0
4,66564651,66565675,0
21,19051682,19052706,0
20,249607,250631,0
4,136664892,136665916,0
10,15428253,15429277,0
